Foods, (hinn), mg / 100 grams
Ipomoea-batatas, (satsumaimo), 17.0
Taro, (satoimo), 1.9
Potato, (jagaimo), 6.5
Dioscorea-opposita, (yamatoimo), 4.1
Avokado, (abokado), 18.4
Tomato, (tomato), 6.5
Eggplant(nasu), 50.7
Bellpepper(pīmann), 69.2
Tomato-puchitomato(puchitomato), 3.1
Juice-fruits(jūsu-furūtsu), 1.1
Momordica-charantia-var.-pavel(gōya), 9.9
Milk-cow(gyuunyuu), 0
Spinach(hourensou), 51.4
________, (komatsuna), 11.6
Perilla, (shiso), 41.5
Ginger, (syouga), 2.25
Okra, (okura), 39.5
Myoga, (myouga), 7.79
