Fruits, (furūtsu), mg / 100 grams
Avocado, (abokado), 590
Durian, (doriann), 510
Banana, (banana), 360
Melon, (meronn), 350
Pitaya, (doragonfurūtsu), 350
Atemoya, (atemoya), 340
Kiwi-fruits, (kiuifurūtsu), 300
Citrus-sudachi, (sudachi), 290
Sanbokan, (sanboukan), 280
Oriental-melon, (makuwauri), 280
Chinese-quince, (karin), 270
Cherry (sakuranbo), 260
Pomegranate, (zakuro), 250
Guava, (guaba), 240
Chocolate-vine, (akebi), 240
Cherimoya, (cherimoya), 230
Grape, (budou), 220
White-sapote, (howaitosapote), 220
Papaya, (papaiya|papaia), 210
Citrus-yuzu, (yuzu), 210
Gooseberry, (gūzuberī), 200
Seminole, (seminōru), 200
Natsudaidai, (natsumikann), 190
Citrus-iyokan, (iyokan), 190
Honeysuckle, (hasukappu), 190
Bitter-orange|Citrus-daidai, (daidai), 190
Si-ku-wa-sa, (sīkuwāsā), 180
Kumquat, (kinnkann), 180
Citrus-navel, (nēburuorenji), 180
Citrus-hassaku, (hassaku), 180
Pomelo, (buntann), 180
Citrus-harumi, (harumi), 170
Citrus-kiyomi, (kiyomiorenji), 170
Persimmon, (kaki), 170
Mango, (mangō), 170
Citrus-setoka, (setoka), 170
Strawberry, (ichigo), 170
Citrus-shiranuhi, (shiranuhi), 170
Fig, (ichijiku), 170
Litch, (raichi), 170
Cucumis-metulifer, (kiwano), 170
Cydonia-oblonga, (marumero), 160
Citrus-ponkan, (ponnkann), 160
Cucumis-metulifer, (kiwano), 170
Cydonia-oblonga, (marumero), 160
Citrus-ponkan, (ponnkann), 160
Loquat, (biwa), 160
Citrus-kawachibankan, (kawachibannkann), 160
Raspberry, (razuberī), 150
Citrus-mandarine, (unnsyuumikann), 150
Citrus-oroblanco, (oroburannko), 150
Pineapple, (painappuru), 150
Citrus-grapefruts, (gureipufurūtsu), 140
Citrus-fukuharaorange, (fukuharaorenji), 140
Citrus-valensia, (barennshia), 140
Citrus-sudachi, (sudachi), 140
Pair, (nashi), 140
Citrus-kabosu, (kabosu), 140
Carambora, (sutāfurūtsu), 140
