Text, E i ________ (aimai)
“ニホンハッカ”とあけび, E i 12530 (aimai)
肩こった　か　キノコ　フルーツ。, E i 12530 (aimai)
キノコ　Pリン酸、キノコ　体内コレステロール、体内ATP📈。, E i 12530 (aimai)
[草木灰とAmazon.com]土枝焼く　か　みみずうんこ、うんこ　て　Kカリウム📈、ヒト生気📈　か　アルカリン温泉。, E i 12530 (aimai)
ユメアサヒ藁と"草古", E i 12530 (aimai)
プラムグラニーメロン　マクワウリ, E i 12530 (aimai)
はとむぎ　湿潤　種　水上ぷかぷか　はとむぎ藁📈、アヒル麦　カモ麦、鳩も水得る　か, E i 12530 (aimai)
ゆり根（グルコマンナン（こんにゃくゼリー））, E i 12530 (aimai)
ゆり根 + オイルオリーブ + シソ葉|オレガノ|ローズマリー, E i 12530 (aimai)
海砂　ヤシ種　オレンジ実、巨人　アスファルト海砂　Si域、温暖　南極雪　水、イラン　ロケット域　月　有機📈、水　イラン域ロケット　月湿潤、緑光月。, E i 12530 (aimai)
乾季　枝拾期。少雨なったら枝燃焼。雨水　水素爆発　アルカリン📈。, E i 12530 (aimai)
蕎麦種　黒土　藁。ごま種　赤土　茎。, E i 12530 (aimai)
（船堀ゴルフ　… ”太陽へ球打つ”　な -ATP な域。日光光子 -> 地球。（ゴルフ打者なら、ゴルフ打者背側　太陽側。））, E i 12530 (aimai)
